Date,Region,Geological_Topographical_Factors,Climatic_Conditions,Forest_Biodiversity,Water_Resources,Land_Use_Urbanization,Disaster_Risk_Management,Pollution_Environmental_Degradation,Socio_Economic_Policy_Aspects
2013-12-31,Almora,Hilly_Terrain,11°C_269mm,88%_149_species,Normal_Flow,40%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2014-12-31,Almora,Hilly_Terrain,22°C_161mm,80%_157_species,Reduced_Flow,44%_Urban,High_Risk,Low_AQI,Medium_GDP_Lax_Policies
2015-12-31,Almora,Hilly_Terrain,15°C_127mm,87%_170_species,High_Flow,43%_Urban,High_Risk,Low_AQI,Low_GDP_Lax_Policies
2016-12-31,Almora,Hilly_Terrain,21°C_143mm,82%_146_species,Reduced_Flow,55%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2017-12-31,Almora,Hilly_Terrain,29°C_129mm,76%_140_species,Normal_Flow,63%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2018-12-31,Almora,Hilly_Terrain,20°C_227mm,75%_147_species,Reduced_Flow,55%_Urban,Low_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2019-12-31,Almora,Hilly_Terrain,16°C_289mm,89%_152_species,Reduced_Flow,41%_Urban,High_Risk,Low_AQI,High_GDP_Strict_Policies
2020-12-31,Almora,Hilly_Terrain,10°C_228mm,79%_179_species,Reduced_Flow,67%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2021-12-31,Almora,Hilly_Terrain,29°C_102mm,90%_138_species,Reduced_Flow,71%_Urban,High_Risk,Low_AQI,High_GDP_Strict_Policies
2022-12-31,Almora,Hilly_Terrain,16°C_297mm,78%_154_species,Normal_Flow,66%_Urban,Moderate_Risk,High_AQI,Medium_GDP_Lax_Policies
2023-12-31,Almora,Hilly_Terrain,17°C_254mm,91%_136_species,Reduced_Flow,59%_Urban,High_Risk,Low_AQI,Low_GDP_Lax_Policies
